world,n_train,model,site_or_shift,metric,mean,median,sd,minimum,maximum,n
site_shift,20,flow_jump,site_1_minus_site_0,coverage_90,-0.043442045854653624,-0.0421608354749972,0.032955441458815515,-0.0809005792640629,0.0072767478422264,5
site_shift,20,flow_jump_observation,all,coverage_90,0.8589431302675881,0.8512184397491379,0.0554591684578455,0.8048310540908877,0.9481126479869036,5
site_shift,20,flow_jump_observation,site_0,coverage_90,0.8772501748807844,0.8611296915644742,0.04549100329508335,0.8453992764163962,0.9577157178660938,5
site_shift,20,flow_jump_observation,site_1,coverage_90,0.8347287113540285,0.8030239177849248,0.07415021324316647,0.7822474825659398,0.9650033119894016,5
site_shift,20,flow_jump_observation,site_1_minus_site_0,coverage_90,-0.04252146352675596,-0.0423753586314714,0.03209548970749241,-0.0788822089985343,0.0072875941233078,5
site_shift,20,gru_from_scratch,all,coverage_90,0.8668813339658316,0.8498223654800837,0.051684237518607526,0.823956862835852,0.9525730147808964,5
site_shift,40,flow_jump,all,coverage_90,0.8986197223645167,0.9026505004934442,0.04215382325531028,0.8442294786049849,0.953877909321692,5
site_shift,40,flow_jump,site_0,coverage_90,0.9178590906380544,0.914282546019073,0.03116130244311634,0.8697729988052568,0.9477517651430696,5
site_shift,40,flow_jump,site_1,coverage_90,0.890182104458496,0.9005078383749172,0.054830318539707275,0.7952766981306681,0.9280692026172784,5
site_shift,40,flow_jump,site_1_minus_site_0,coverage_90,-0.027676986179558237,-0.0153122452958914,0.026300330522221572,-0.0744963006745886,-0.0135988569347855,5
site_shift,40,flow_jump_observation,all,coverage_90,0.8981306990736384,0.9028619765966446,0.04268351232921076,0.8436740644743237,0.9539728107428408,5
site_shift,40,flow_jump_observation,site_0,coverage_90,0.9185873723079763,0.9150375939849624,0.030715500727978736,0.8712573766337207,0.9479375696767,5
site_shift,40,flow_jump_observation,site_1,coverage_90,0.8905810806707668,0.9007139177154633,0.05458100370200331,0.7961576901721266,0.928549776348379,5
site_shift,40,flow_jump_observation,site_1_minus_site_0,coverage_90,-0.02800629163720934,-0.0154284415472608,0.026435978231894607,-0.0750996864615941,-0.0143236762694991,5
site_shift,40,gru_from_scratch,all,coverage_90,0.9205318316317749,0.9063865783166504,0.025499553705164026,0.896676553705304,0.9525018387150348,5
smooth,5,flow_jump,all,coverage_90,0.8747052489252894,0.8700452538029552,0.050851415465452826,0.8254121943122718,0.9588054962500684,5
smooth,5,flow_jump_observation,all,coverage_90,0.8743000545577722,0.869690856550897,0.050893006272131766,0.825190881929844,0.9585317786171784,5
smooth,5,gru_from_scratch,all,coverage_90,0.8826481864427317,0.8556051600887403,0.054075636095602585,0.8350915550696911,0.9674549734493896,5
smooth,10,flow_jump,all,coverage_90,0.8509502022418225,0.8673838068648382,0.0474987744925927,0.775102487018311,0.9014053336284163,5
smooth,10,flow_jump_observation,all,coverage_90,0.8492144202054821,0.8633054141347786,0.04681664113883198,0.7749931675321126,0.9013500055328096,5
smooth,10,gru_from_scratch,all,coverage_90,0.8503684826025151,0.8424432905165345,0.039806228278725105,0.7951770953084798,0.9018651913122072,5
smooth,20,flow_jump,all,coverage_90,0.8650119316056042,0.8524399690162665,0.044219524102625966,0.8138172661082826,0.914074883848046,5
smooth,20,flow_jump_observation,all,coverage_90,0.8638437279263147,0.8513887351997345,0.04555392715807482,0.8093282969288882,0.9138015851325498,5
smooth,20,gru_from_scratch,all,coverage_90,0.8865885564729592,0.8824737750267043,0.04567989539009845,0.8171839929928286,0.9330691445750204,5
smooth,40,flow_jump,all,coverage_90,0.9027146747094564,0.8922485338054664,0.038807467224028454,0.8656561801428494,0.9670991405266328,5
smooth,40,flow_jump_observation,all,coverage_90,0.9027122184076063,0.8933550957176054,0.03880199765716245,0.8648110790033259,0.9667706793671648,5
smooth,40,gru_from_scratch,all,coverage_90,0.898249991460734,0.8965917893106119,0.024691431789808687,0.8686697159760073,0.9315660016397924,5
informative_observation,5,flow_jump,all,event_brier,0.15388592016209096,0.1501519293343366,0.020330229416548978,0.1294973546416788,0.1841006567832258,5
informative_observation,5,flow_jump_observation,all,event_brier,0.15402036368864933,0.1501723081931588,0.020284743965175468,0.1291538788884109,0.1839335659575122,5
informative_observation,5,gru_from_scratch,all,event_brier,0.1344474059787994,0.1399927600138343,0.013255964908229195,0.1184886860769062,0.1485117329488605,5
informative_observation,10,flow_jump,all,event_brier,0.1541344850617489,0.1587546199430125,0.014381720790888243,0.134370312483571,0.1690608063128741,5
informative_observation,10,flow_jump_observation,all,event_brier,0.1541545106538484,0.1587347501568194,0.013326493310961623,0.1343017194309025,0.1664722860585554,5
informative_observation,10,gru_from_scratch,all,event_brier,0.12614253827692834,0.1211598078204963,0.011145851438213632,0.1171191274189946,0.1448134672890068,5
informative_observation,20,flow_jump,all,event_brier,0.1306587000429286,0.1248885885707145,0.014906427231618087,0.1202825711944212,0.1569431655705944,5
informative_observation,20,flow_jump_observation,all,event_brier,0.13076555465368755,0.1249602435648124,0.015062254301200643,0.1202845831346224,0.1573263279955775,5
informative_observation,20,gru_from_scratch,all,event_brier,0.1248329453860169,0.12353799079725,0.005268252055309699,0.117856874990216,0.1306527363123269,5
informative_observation,40,flow_jump,all,event_brier,0.15585968434791492,0.1484022054243834,0.02923069799948724,0.1261845315500327,0.2010860020983607,5
informative_observation,40,flow_jump_observation,all,event_brier,0.1560365900333463,0.1485519334287541,0.029259667783171853,0.1264044832751232,0.2011711521797149,5
informative_observation,40,gru_from_scratch,all,event_brier,0.13775651180479787,0.1352944556604826,0.015109779114799942,0.1217961206539916,0.1626395242695692,5
jumps,5,flow_jump,all,event_brier,0.22304295565304688,0.2195697473397795,0.00785451835312832,0.2178170720097984,0.2368689828277905,5
jumps,5,flow_jump_observation,all,event_brier,0.2228757848763479,0.2195771962860442,0.00798252013552724,0.2177746609181987,0.2368946355156722,5
jumps,5,gru_from_scratch,all,event_brier,0.22193567702561032,0.2203163817351369,0.005970854506899857,0.2145959351380701,0.2295617067929611,5
jumps,10,flow_jump,all,event_brier,0.21979594444545078,0.2203052438021453,0.001092363331776186,0.2185539896369035,0.2208840791757367,5
jumps,10,flow_jump_observation,all,event_brier,0.21987409496234167,0.2202879685338876,0.001164421444418973,0.2185610060028088,0.2209842328190559,5
jumps,10,gru_from_scratch,all,event_brier,0.2188467362593848,0.2191761755273227,0.0019776143029248796,0.2160152261811543,0.2209831088424341,5
jumps,20,flow_jump,all,event_brier,0.22492799814868883,0.2209203290232017,0.011167691917490312,0.215068224001111,0.244086622879447,5
jumps,20,flow_jump_observation,all,event_brier,0.22490532184841378,0.2209427499648805,0.011167292277948146,0.2150713935986925,0.2440852472801173,5
jumps,20,gru_from_scratch,all,event_brier,0.21845123622375215,0.2189338649174713,0.00297282739155424,0.213725975147435,0.2212966283245894,5
jumps,40,flow_jump,all,event_brier,0.2240227561802001,0.21935136784181,0.011626647288207411,0.2149021722783066,0.2439676024236347,5
jumps,40,flow_jump_observation,all,event_brier,0.2240223376059515,0.2193738954896331,0.011627585500758913,0.2149019703113687,0.2439744314893446,5
jumps,40,gru_from_scratch,all,event_brier,0.21708428146155687,0.2173743064978046,0.0032191056748221477,0.2128382936279364,0.2213797751105614,5
misspecified,5,flow_jump,all,event_brier,0.2150785754722712,0.2100786468860481,0.019226130168009427,0.1962693607734841,0.2438040771080282,5
misspecified,5,flow_jump_observation,all,event_brier,0.21443487745871184,0.2100510355245954,0.019745912588510037,0.1961117018763079,0.2437576622789305,5
misspecified,5,gru_from_scratch,all,event_brier,0.19865738609569666,0.1950905916611834,0.006256934154421796,0.1934782883707975,0.2065147231315091,5
misspecified,10,flow_jump,all,event_brier,0.22816174298652295,0.2412495367803846,0.023093687315177622,0.198185199417957,0.2508483565694028,5
misspecified,10,flow_jump_observation,all,event_brier,0.228327963832695,0.2412660734813433,0.022862416408466445,0.1984894083663494,0.2507485044870612,5
misspecified,10,gru_from_scratch,all,event_brier,0.2077103400591837,0.1979940253737303,0.020577254736499698,0.1955670386110713,0.2441993318417956,5
misspecified,20,flow_jump,all,event_brier,0.20561573720925663,0.2089400755779431,0.011063336956137941,0.1911666532454252,0.2190932714163107,5
misspecified,20,flow_jump_observation,all,event_brier,0.202154143194974,0.2027599522429613,0.007861011008737963,0.1911314313739362,0.2104799452520979,5
misspecified,20,gru_from_scratch,all,event_brier,0.2168628605556656,0.1968835461841109,0.04421054890377124,0.1938548800108775,0.2957010932936078,5
misspecified,40,flow_jump,all,event_brier,0.20902143455416078,0.1975848853694482,0.026383021082704773,0.1944387409328803,0.2560260225654198,5
misspecified,40,flow_jump_observation,all,event_brier,0.20894391934235065,0.198278662496721,0.025925967973968782,0.1947498330148158,0.2551285938608026,5
misspecified,40,gru_from_scratch,all,event_brier,0.19827181136749888,0.1978102621520605,0.005565541096088622,0.1917466187649079,0.2058892175583299,5
site_shift,5,flow_jump,all,event_brier,0.16770383345020856,0.154228456125229,0.04030369980542229,0.1287847319155318,0.2340571981486105,5
site_shift,5,flow_jump,site_0,event_brier,0.13073188621765336,0.1257539716696395,0.009555131623396999,0.1228769035619708,0.1461767219143207,5
site_shift,5,flow_jump,site_1,event_brier,0.13065695973788766,0.1266180783554652,0.012862384138471628,0.1218592258726301,0.1529806485264992,5
site_shift,5,flow_jump,site_1_minus_site_0,event_brier,-7.492647976569989e-05,-0.0004778550481995,0.004533770105161043,-0.0042857596090778,0.0068039266121785,5
site_shift,5,flow_jump_observation,all,event_brier,0.1670442340572226,0.1542334179401367,0.04024168931028427,0.1287462581824743,0.2340661549647886,5
