model,ablation,metric,world,n_train,site_or_shift,mean_full,mean_ablated,mean_raw_delta,median_raw_delta,sd_raw_delta,mean_oriented_component_benefit,median_oriented_component_benefit,n
flow_jump,no_flow,coverage_90,site_shift,40,site_1,0.890182104458496,0.9225349084450493,0.032352803986553116,0.033855891661146775,0.06626586604814805,-0.0002515127479310264,0.004260840078434858,5
flow_jump_observation,no_flow,coverage_90,site_shift,40,site_1,0.8905810806707668,0.9224060754914397,0.031824994820672824,0.03374549201442556,0.06613305939093034,-0.00011684263987061793,0.004238724991522336,5
flow_jump,no_flow,coverage_90,site_shift,40,site_1_minus_site_0,-0.027676986179558237,-0.00707770390732658,0.020599282272231657,0.014498241973118001,0.033272732684767284,-0.020599282272231643,-0.014498241973117998,5
flow_jump_observation,no_flow,coverage_90,site_shift,40,site_1_minus_site_0,-0.02800629163720934,-0.00730904699479972,0.02069724464240962,0.0145661501466888,0.03345228658821491,-0.02069724464240965,-0.014566150146688828,5
flow_jump,no_flow,coverage_90,site_shift,80,all,0.9010501690245677,0.9177313416655432,0.01668117264097535,0.019971766448358186,0.01065590246894946,0.0033579773348345167,-0.001541443819043864,5
flow_jump_observation,no_flow,coverage_90,site_shift,80,all,0.901859211557427,0.9178481270629595,0.01598891550553234,0.019948624192913766,0.011189241212925251,0.0027971548466324326,-0.0014246677721465595,5
flow_jump,no_flow,coverage_90,site_shift,80,site_0,0.9062280576308218,0.9058061318398682,-0.0004219257909537699,-0.004018681438036187,0.012228757115763595,0.0010972457013150195,0.00479770855710715,5
flow_jump_observation,no_flow,coverage_90,site_shift,80,site_0,0.9054335579316151,0.905784252048959,0.00035069411734396373,-0.004923789870026618,0.012547527736738215,0.0009878738641305284,0.006391675956893383,5
flow_jump,no_flow,coverage_90,site_shift,80,site_1,0.8803760486190294,0.912136407097727,0.03176035847869767,0.035179172280755955,0.02009045177286643,-0.00846937319822616,0.001338213005064648,5
flow_jump_observation,no_flow,coverage_90,site_shift,80,site_1,0.8785438718408045,0.912125668842464,0.03358179700165946,0.040369904063496276,0.021407385134103205,-0.010332867061763017,0.0011385900706075702,5
