world,n_train,cohort_seed,subset_seed,model_seed,flow_jump,gru_from_scratch,representation_linear,delta_vs_gru,delta_vs_representation_linear,relative_vs_gru,relative_vs_representation_linear,beats_gru,beats_representation_linear,beats_both
misspecified,5,104,204,304,2.040388822555542,1.6289554834365845,1.6168068518300438,-0.4114333391189575,-0.4235819707254982,-0.25257494345453957,-0.2619867489094637,False,False,False
misspecified,5,105,205,305,1.715030312538147,1.7113497257232666,1.6091877605900071,-0.003680586814880371,-0.10584255194813985,-0.0021506923801473993,-0.0657738981990099,False,False,False
misspecified,10,101,201,301,1.9850255250930784,1.9787540435791016,2.033206025440509,-0.006271481513976829,0.04818050034743071,-0.003169409323168427,0.023696811707506153,False,True,False
misspecified,10,102,202,302,1.8272113800048828,1.5742131471633911,1.4823534312700126,-0.2529982328414917,-0.3448579487348702,-0.16071408963733705,-0.2326421900878333,False,False,False
misspecified,10,103,203,303,1.9419660568237305,1.3364825248718262,1.364809418566736,-0.6054835319519043,-0.5771566382569944,-0.4530426104972622,-0.42288441917634134,False,False,False
misspecified,10,104,204,304,1.7318998575210571,1.434821844100952,1.578573577844515,-0.2970780134201052,-0.15332627967654222,-0.20704871105879485,-0.09712963768588076,False,False,False
misspecified,10,105,205,305,1.8487334251403809,1.9955406188964844,1.4261000248100362,0.14680719375610352,-0.4226334003303447,0.07356762992741614,-0.2963560710873991,True,False,False
misspecified,20,101,201,301,1.169053077697754,2.004335403442383,1.4627754635582575,0.8352823257446289,0.2937223858605036,0.416737799626778,0.200797998857605,True,True,True
misspecified,20,102,202,302,2.0020952224731445,1.548796772956848,1.5149118386594982,-0.4532984495162966,-0.48718338381364634,-0.2926778112088217,-0.3215919048099465,False,False,False
misspecified,20,103,203,303,1.853951930999756,1.517324924468994,1.6239867460568185,-0.33662700653076216,-0.2299651849429376,-0.2218555835353254,-0.14160533360343805,False,False,False
misspecified,20,104,204,304,1.6055229902267456,1.830463409423828,1.4083136475940174,0.2249404191970823,-0.19720934263272816,0.12288714324417249,-0.14003225983760317,True,False,False
misspecified,20,105,205,305,1.3810632228851318,1.1872289180755615,1.3928351830269987,-0.1938343048095703,0.011771960141866877,-0.1632661585802391,0.008451796942896933,False,True,False
misspecified,40,101,201,301,1.6145573854446411,1.725574612617493,1.6199835205868156,0.11101722717285178,0.005426135142174493,0.06433638184120695,0.003349500209859514,True,True,True
misspecified,40,102,202,302,2.07169771194458,1.526286244392395,1.5844773911910497,-0.5454114675521851,-0.4872203207535304,-0.357345464886444,-0.30749591219303385,False,False,False
misspecified,40,103,203,303,1.6408222913742063,1.4753167629241943,1.4948204800729687,-0.16550552845001198,-0.14600181130123757,-0.11218304611544368,-0.09767180290044633,False,False,False
misspecified,40,104,204,304,1.4403154850006104,1.577712893486023,1.4420512090045805,0.1373974084854126,0.0017357240039701516,0.08708644586267356,0.0012036493524860935,True,True,True
misspecified,40,105,205,305,1.6105493307113647,1.7789686918258667,1.4345853389463694,0.16841936111450195,-0.17596399176499533,0.09467247056587749,-0.12265843445342332,True,False,False
misspecified,80,101,201,301,1.5875558853149414,1.6624064445495603,1.476889158453758,0.07485055923461892,-0.1106667268611834,0.04502542653153643,-0.07493231718015107,True,False,False
misspecified,80,102,202,302,1.5088491439819336,1.3784090280532837,1.3858543122327731,-0.1304401159286499,-0.12299483174916048,-0.09463092106475061,-0.08875018872005488,False,False,False
misspecified,80,103,203,303,1.4919977188110352,1.4554532766342163,1.4132125449987134,-0.03654444217681885,-0.07878517381232175,-0.025108633003547234,-0.05574899125481049,False,False,False
misspecified,80,104,204,304,1.3519927263259888,1.6129120588302612,1.4482607408062775,0.26091933250427246,0.09626801448028877,0.16176910022825425,0.06647146592311431,True,True,True
misspecified,80,105,205,305,1.4154770374298096,1.3060896396636963,1.4578696845352346,-0.10938739776611328,0.04239264710542501,-0.08375183022987559,0.02907848867091278,False,True,False
misspecified,100,101,201,301,1.593286633491516,1.7376083135604858,1.483432108163594,0.14432168006896995,-0.10985452532792195,0.08305765973992398,-0.07405429929915412,True,False,False
misspecified,100,102,202,302,1.849901795387268,1.479658603668213,1.5072390490462648,-0.3702431917190552,-0.34266274634100324,-0.25022203824665196,-0.2273446581402133,False,False,False
misspecified,100,103,203,303,1.5518194437026978,1.48825204372406,1.4509940082662134,-0.0635673999786377,-0.10082543543648437,-0.04271279199427316,-0.06948714802548375,False,False,False
misspecified,100,104,204,304,1.590121507644653,1.5729796886444092,1.4569227104921108,-0.01714181900024392,-0.13319879715254235,-0.010897673456302989,-0.09142475176843887,False,False,False
misspecified,100,105,205,305,1.469709873199463,1.3862758874893188,1.53608755762916,-0.08343398571014404,0.06637768442969705,-0.06018570074190005,0.04321217504824152,False,True,False
site_shift,5,101,201,301,0.6235316395759583,0.5821981430053711,0.6716185003861899,-0.04133349657058716,0.04808686081023161,-0.07099558297664621,0.0715984755967577,False,True,False
site_shift,5,102,202,302,0.6703136563301086,0.6041045784950256,0.754711308949085,-0.06620907783508301,0.08439765261897636,-0.10959870226447588,0.11182773017738107,False,True,False
site_shift,5,103,203,303,0.8202094435691833,0.534636378288269,0.7152788830183647,-0.2855730652809143,-0.10493056055081862,-0.5341444706685055,-0.14669880943224287,False,False,False
site_shift,5,104,204,304,0.6487753391265869,0.6399419903755188,0.864139948633551,-0.008833348751068115,0.21536460950696412,-0.013803358560491858,0.24922422559854604,False,True,False
site_shift,5,105,205,305,0.6208787560462952,0.6843644976615906,0.7411351427057296,0.06348574161529541,0.12025638665943439,0.09276597753422372,0.16225972799023325,True,True,True
site_shift,10,101,201,301,0.6172940135002136,0.5766952037811279,0.985325939554727,-0.04059880971908569,0.3680319260545134,-0.07039907641488567,0.37351287658257387,False,True,False
site_shift,10,102,202,302,0.6975852251052856,0.5901274085044861,0.7152247532156544,-0.10745781660079956,0.01763952811036873,-0.18209257026905687,0.024662916140781362,False,True,False
site_shift,10,103,203,303,0.82134610414505,0.4915823638439178,0.6926485740557711,-0.32976374030113226,-0.12869753008927898,-0.6708209336936983,-0.18580494483038731,False,False,False
site_shift,10,104,204,304,0.634263277053833,0.5659048557281494,0.770573197700452,-0.0683584213256836,0.13630992064661895,-0.12079490153468794,0.17689418870705034,False,True,False
site_shift,10,105,205,305,0.6736686825752258,0.6157352328300476,0.8406049362898504,-0.05793344974517822,0.16693625371462462,-0.09408824874110906,0.19859061790836668,False,True,False
site_shift,20,101,201,301,0.5464963316917419,0.5513187050819397,0.6814352966760036,0.004822373390197754,0.1349389649842616,0.00874697946169091,0.19802168399917788,True,True,True
site_shift,20,102,202,302,0.7399477958679199,0.5789262056350708,0.706629228986023,-0.16102159023284912,-0.03331856688189694,-0.2781383683542388,-0.04715141337941453,False,False,False
site_shift,20,103,203,303,0.5858566164970398,0.5235104560852051,0.6593958294723401,-0.06234616041183472,0.0735392129753003,-0.11909248361161183,0.1115251411798398,False,True,False
site_shift,20,104,204,304,0.6139944791793823,0.5848695039749146,0.740696376030529,-0.029124975204467773,0.12670189685114663,-0.0497973907111371,0.17105780580452634,False,True,False
site_shift,20,105,205,305,0.5759525299072266,0.5894859433174133,0.6384475022669328,0.013533413410186768,0.06249497235970625,0.0229579917275476,0.09788584360938936,True,True,True
site_shift,40,101,201,301,0.6594340801239014,0.5965940952301025,0.6467163267476079,-0.06283998489379883,-0.01271775337629344,-0.10533122167352636,-0.01966511877046945,False,False,False
site_shift,40,102,202,302,0.4101747572422027,0.4675082564353943,0.6646562346034788,0.057333499193191584,0.2544814773612761,0.12263633508922765,0.38287683784850807,True,True,True
site_shift,40,103,203,303,0.6271836161613464,0.5948143601417542,0.6639267674477088,-0.032369256019592285,0.03674315128636241,-0.05441908970031953,0.055342174902228675,False,True,False
site_shift,40,104,204,304,0.6206902265548706,0.6017172932624817,0.7187251160466968,-0.018972933292388916,0.09803488949182615,-0.031531307982721586,0.13640109035156725,False,True,False
site_shift,40,105,205,305,0.6747114062309265,0.5976113080978394,0.6437667242036121,-0.07710009813308716,-0.030944682027314374,-0.12901378720307705,-0.048068160195131666,False,False,False
site_shift,80,101,201,301,0.4038529396057129,0.494154542684555,0.6469585851755516,0.09030160307884211,0.2431056455698387,0.18273959921175187,0.37576693646297654,True,True,True
site_shift,80,102,202,302,0.4404965043067932,0.4740393757820129,0.6949756356518716,0.03354287147521967,0.2544791313450784,0.07075967353953391,0.36616986019428244,True,True,True
site_shift,80,103,203,303,0.6408675312995911,0.5903971791267395,0.660669838790228,-0.05047035217285156,0.01980230749063694,-0.08548542228386424,0.02997307630525033,False,True,False
site_shift,80,104,204,304,0.4650972187519073,0.5228040218353271,0.7150270567760177,0.057706803083419855,0.24992983802411045,0.11037941690050034,0.34953899388229864,True,True,True
site_shift,80,105,205,305,0.5308290719985962,0.4662465155124664,0.6890890352791975,-0.06458255648612982,0.15825996328060132,-0.13851590164731864,0.22966547888326114,False,True,False
site_shift,100,101,201,301,0.420740932226181,0.4948897957801819,0.697726356817821,0.07414886355400091,0.27698542459164005,0.14982904110420586,0.3969828886139699,True,True,True
site_shift,100,102,202,302,0.4207600653171539,0.465676337480545,0.6897172566740079,0.04491627216339111,0.268957191356854,0.0964538426118068,0.3899528230652572,True,True,True
