world,n_train,model,mean,median,sd,minimum,maximum,n
jumps,40,representation_linear,1.0885851016329582,1.081347516747304,0.05168045881446536,1.014345139668522,1.1555272465040207,5
jumps,80,representation_linear,1.0621983234802002,1.0613619244986408,0.04059255473920284,1.0148283873622994,1.1129473754795045,5
jumps,100,representation_linear,1.067661159263973,1.073890485733108,0.055066025568420565,0.9951057524681954,1.1458814546352034,5
misspecified,5,flow_jump,1.8273665189743042,1.7882914543151855,0.15369210634221478,1.6679874658584597,2.040388822555542,5
misspecified,10,flow_jump,1.866967248916626,1.8487334251403809,0.09964785424443033,1.7318998575210571,1.9850255250930784,5
misspecified,20,flow_jump,1.6023372888565064,1.6055229902267456,0.3390515824452479,1.169053077697754,2.0020952224731445,5
misspecified,40,flow_jump,1.6755884408950805,1.6145573854446411,0.235276156421597,1.4403154850006104,2.07169771194458,5
misspecified,80,flow_jump,1.4711745023727416,1.4919977188110352,0.09042139487074329,1.3519927263259888,1.5875558853149414,5
misspecified,100,flow_jump,1.6109678506851197,1.590121507644653,0.1425561079386236,1.469709873199463,1.849901795387268,5
misspecified,5,gru_from_scratch,1.6629499912261962,1.7113497257232666,0.15897311341672152,1.40517258644104,1.8122715950012207,5
misspecified,10,gru_from_scratch,1.663962435722351,1.5742131471633911,0.30693699902024246,1.3364825248718262,1.9955406188964844,5
misspecified,20,gru_from_scratch,1.617629885673523,1.548796772956848,0.3141987197072195,1.1872289180755615,2.004335403442383,5
misspecified,40,gru_from_scratch,1.6167718410491942,1.577712893486023,0.13025805658119854,1.4753167629241943,1.7789686918258667,5
misspecified,80,gru_from_scratch,1.4830540895462037,1.4554532766342163,0.15170627024146638,1.3060896396636963,1.6624064445495603,5
misspecified,100,gru_from_scratch,1.5329549074172975,1.48825204372406,0.13213494679778148,1.3862758874893188,1.7376083135604858,5
misspecified,5,representation_linear,1.5542355470126108,1.5386746622681011,0.05697550144141394,1.4857958993694178,1.6168068518300438,5
misspecified,10,representation_linear,1.577008495586362,1.4823534312700126,0.26687077011554805,1.364809418566736,2.033206025440509,5
misspecified,20,representation_linear,1.4805645757791182,1.4627754635582575,0.09351837905514908,1.3928351830269987,1.6239867460568185,5
misspecified,40,representation_linear,1.5151835879603568,1.4948204800729687,0.08373132001134594,1.4345853389463694,1.6199835205868156,5
misspecified,80,representation_linear,1.4364172882053512,1.4482607408062775,0.03651547482129382,1.3858543122327731,1.476889158453758,5
misspecified,100,representation_linear,1.4869350867194686,1.483432108163594,0.035471788045764105,1.4509940082662134,1.53608755762916,5
site_shift,5,flow_jump,0.6767417669296265,0.6487753391265869,0.08270188868496217,0.6208787560462952,0.8202094435691833,5
site_shift,10,flow_jump,0.6888314604759216,0.6736686825752258,0.08056358044643552,0.6172940135002136,0.82134610414505,5
site_shift,20,flow_jump,0.6124495506286621,0.5858566164970398,0.075244988369206,0.5464963316917419,0.7399477958679199,5
site_shift,40,flow_jump,0.5984388172626496,0.6271836161613464,0.10759028173356994,0.4101747572422027,0.6747114062309265,5
site_shift,80,flow_jump,0.49622865319252013,0.4650972187519073,0.09317470838705484,0.4038529396057129,0.6408675312995911,5
site_shift,100,flow_jump,0.44852811098098755,0.4207600653171539,0.04716959156064852,0.4037676751613617,0.5113661885261536,5
site_shift,5,gru_from_scratch,0.609049117565155,0.6041045784950256,0.05680989160714858,0.534636378288269,0.6843644976615906,5
site_shift,10,gru_from_scratch,0.5680090129375458,0.5766952037811279,0.04660452115486386,0.4915823638439178,0.6157352328300476,5
site_shift,20,gru_from_scratch,0.5656221628189086,0.5789262056350708,0.027816013660162908,0.5235104560852051,0.5894859433174133,5
site_shift,40,gru_from_scratch,0.5716490626335144,0.5965940952301025,0.05827162658230665,0.4675082564353943,0.6017172932624817,5
