model,ablation,metric,world,n_train,site_or_shift,mean_full,mean_ablated,mean_raw_delta,median_raw_delta,sd_raw_delta,mean_oriented_component_benefit,median_oriented_component_benefit,n
flow_jump_observation,no_observation_head,mae,informative_observation,40,all,0.6338182926177979,0.6346322655677795,0.0008139729499816895,0.0002676844596862793,0.0016538593474904229,0.0008139729499816895,0.0002676844596862793,5
flow_jump_observation,no_observation_head,mae,informative_observation,80,all,0.5239193379878998,0.5272875607013703,0.003368222713470448,0.004247099161148016,0.004432033224497405,0.003368222713470448,0.004247099161148016,5
flow_jump_observation,no_observation_head,mae,informative_observation,100,all,0.4422411024570465,0.44698319435119627,0.004742091894149769,0.0064153969287872314,0.0036128132762079496,0.004742091894149769,0.0064153969287872314,5
flow_jump_observation,no_observation_head,mae,jumps,5,all,1.1805894374847412,1.181872797012329,0.0012833595275879351,-3.3259391784445924e-05,0.003265198251505712,0.0012833595275879351,-3.3259391784445924e-05,5
flow_jump_observation,no_observation_head,mae,jumps,10,all,1.0783649802207946,1.0791406154632568,0.0007756352424621582,9.512901306152344e-05,0.0016309507246618107,0.0007756352424621582,9.512901306152344e-05,5
flow_jump_observation,no_observation_head,mae,jumps,20,all,1.1312163591384887,1.1309436082839965,-0.0002727508544920987,1.2159347534179688e-05,0.0009537274822673498,-0.0002727508544920987,1.2159347534179688e-05,5
flow_jump_observation,no_observation_head,mae,jumps,40,all,1.104918360710144,1.1049762964248657,5.79357147217241e-05,9.02414321899414e-05,0.0001576634230426729,5.79357147217241e-05,9.02414321899414e-05,5
flow_jump_observation,no_observation_head,mae,jumps,80,all,1.0479094505310058,1.0480615139007567,0.00015206336975097655,8.64267349243164e-05,0.00016893498639537722,0.00015206336975097655,8.64267349243164e-05,5
flow_jump_observation,no_observation_head,mae,jumps,100,all,0.996588921546936,0.9971213102340698,0.0005323886871337891,0.0004222393035888672,0.0005931428504556916,0.0005323886871337891,0.0004222393035888672,5
flow_jump_observation,no_observation_head,mae,misspecified,5,all,1.8390284776687622,1.8273665189743042,-0.011661958694457875,-6.198883056196536e-06,0.026729091997737223,-0.011661958694457875,-6.198883056196536e-06,5
flow_jump_observation,no_observation_head,mae,misspecified,10,all,1.8669105529785157,1.866967248916626,5.669593811021834e-05,0.00014722347259477075,0.00026373475372275625,5.669593811021834e-05,0.00014722347259477075,5
flow_jump_observation,no_observation_head,mae,misspecified,20,all,1.5849903106689454,1.6023372888565064,0.017346978187561035,0.0020673274993896484,0.04629778172325725,0.017346978187561035,0.0020673274993896484,5
flow_jump_observation,no_observation_head,mae,misspecified,40,all,1.674325704574585,1.6755884408950805,0.0012627363204956055,0.0029222965240482957,0.00428885187609702,0.0012627363204956055,0.0029222965240482957,5
flow_jump_observation,no_observation_head,mae,misspecified,80,all,1.4675967693328857,1.4711745023727416,0.003577733039855957,0.010498642921447754,0.012363386588740035,0.003577733039855957,0.010498642921447754,5
flow_jump_observation,no_observation_head,mae,misspecified,100,all,1.6218761444091796,1.6109678506851197,-0.010908293724060148,0.0017632246017453834,0.027588321719493332,-0.010908293724060148,0.0017632246017453834,5
flow_jump_observation,no_observation_head,mae,site_shift,5,all,0.6751914620399475,0.6767417669296265,0.001550304889678955,5.5849552154541016e-05,0.0021512247845034416,0.001550304889678955,5.5849552154541016e-05,5
flow_jump_observation,no_observation_head,mae,site_shift,10,all,0.6825292706489563,0.6888314604759216,0.006302189826965332,9.316205978393555e-05,0.01358998559992947,0.006302189826965332,9.316205978393555e-05,5
flow_jump_observation,no_observation_head,mae,site_shift,20,all,0.6108365774154663,0.6124495506286621,0.0016129732131958008,0.00036269426345825195,0.0023144882940821197,0.0016129732131958008,0.00036269426345825195,5
flow_jump_observation,no_observation_head,mae,site_shift,40,all,0.5980675399303437,0.5984388172626496,0.0003712773323058971,0.00013452768325805664,0.0006792340352627626,0.0003712773323058971,0.00013452768325805664,5
flow_jump_observation,no_observation_head,mae,site_shift,80,all,0.49722321033477784,0.49622865319252013,-0.0009945571422576792,0.00030615925788879395,0.003829036930798189,-0.0009945571422576792,0.00030615925788879395,5
flow_jump_observation,no_observation_head,mae,site_shift,100,all,0.4464406371116638,0.44852811098098755,0.0020874738693237084,0.0014827847480773926,0.001621954919934347,0.0020874738693237084,0.0014827847480773926,5
flow_jump_observation,no_observation_head,mae,smooth,5,all,0.36688383221626275,0.36677074432373047,-0.00011308789253232643,-6.029009819030762e-05,0.00022322987558429647,-0.00011308789253232643,-6.029009819030762e-05,5
flow_jump_observation,no_observation_head,mae,smooth,10,all,0.33712295889854427,0.33805795907974245,0.0009350001811981423,2.8312206268310547e-05,0.0014600213312965119,0.0009350001811981423,2.8312206268310547e-05,5
flow_jump_observation,no_observation_head,mae,smooth,20,all,0.33165609240531924,0.3316520988941193,-3.993511199962274e-06,1.6242265701293945e-05,0.0002025437801499196,-3.993511199962274e-06,1.6242265701293945e-05,5
