model,n_train,n_fit,n_validation,seed,cohort_seed,subset_seed,model_seed,split,site_or_shift,metric,world,benchmark,ablation,ablated_value,ablated_parameters,full_value,full_parameters,raw_delta_ablated_minus_full,oriented_component_benefit
flow_jump,100,80,20,204,104,204,304,test,all,coverage_90,informative_observation,low_n,no_flow,0.9043167099261648,6967,0.8793185999042411,6967,0.024998110021923647,-0.016364690169594187
flow_jump_observation,100,80,20,204,104,204,304,test,all,coverage_90,informative_observation,low_n,no_flow,0.904442708464582,7642,0.8813345765189123,7642,0.02310813194566963,-0.014222715016505738
flow_jump,100,80,20,205,105,205,305,test,all,coverage_90,informative_observation,low_n,no_flow,0.960044615193952,6967,0.928541331019953,6967,0.03150328417399906,0.03150328417399906
flow_jump_observation,100,80,20,205,105,205,305,test,all,coverage_90,informative_observation,low_n,no_flow,0.9601437600694014,7642,0.9282934688313298,7642,0.03185029123807159,0.03185029123807159
flow_jump,5,4,1,201,101,201,301,test,all,coverage_90,jumps,low_n,no_flow,0.6794635234501941,6967,0.7402990829225303,6967,-0.06083555947233621,0.06083555947233621
flow_jump_observation,5,4,1,201,101,201,301,test,all,coverage_90,jumps,low_n,no_flow,0.6810332956955193,7642,0.7406571011539202,7642,-0.05962380545840096,0.05962380545840096
flow_jump,5,4,1,202,102,202,302,test,all,coverage_90,jumps,low_n,no_flow,0.7818030281983609,6967,0.8942075288234477,6967,-0.11240450062508678,0.11240450062508678
flow_jump_observation,5,4,1,202,102,202,302,test,all,coverage_90,jumps,low_n,no_flow,0.7818585914710376,7642,0.8940686206417559,7642,-0.1122100291707182,0.1122100291707182
flow_jump,5,4,1,203,103,203,303,test,all,coverage_90,jumps,low_n,no_flow,0.7851082584981544,6967,0.8382458266762162,6967,-0.05313756817806181,0.05313756817806181
flow_jump_observation,5,4,1,203,103,203,303,test,all,coverage_90,jumps,low_n,no_flow,0.785245991956366,7642,0.8152443391548675,7642,-0.029998347198501474,0.029998347198501474
flow_jump,5,4,1,204,104,204,304,test,all,coverage_90,jumps,low_n,no_flow,0.939573330423396,6967,0.9086916193801832,6967,0.0308817110432128,0.0308817110432128
flow_jump_observation,5,4,1,204,104,204,304,test,all,coverage_90,jumps,low_n,no_flow,0.939573330423396,7642,0.9106012658227848,7642,0.02897206460061119,0.02897206460061119
flow_jump,5,4,1,205,105,205,305,test,all,coverage_90,jumps,low_n,no_flow,0.648387714356043,6967,0.7490906107266909,6967,-0.10070289637064789,0.10070289637064789
flow_jump_observation,5,4,1,205,105,205,305,test,all,coverage_90,jumps,low_n,no_flow,0.6482236140360473,7642,0.7489812105133605,7642,-0.1007575964773132,0.1007575964773132
flow_jump,10,8,2,201,101,201,301,test,all,coverage_90,jumps,low_n,no_flow,0.8432706342430668,6967,0.7992068519181516,6967,0.04406378232491526,-0.04406378232491526
flow_jump_observation,10,8,2,201,101,201,301,test,all,coverage_90,jumps,low_n,no_flow,0.8436561923384098,7642,0.7947729338217069,7642,0.04888325851670294,-0.04888325851670294
flow_jump,10,8,2,202,102,202,302,test,all,coverage_90,jumps,low_n,no_flow,0.907514932629532,6967,0.8917349631893319,6967,0.015779969440200103,-0.0007501041811361908
flow_jump_observation,10,8,2,202,102,202,302,test,all,coverage_90,jumps,low_n,no_flow,0.907514932629532,7642,0.8919016530073621,7642,0.015613279622169851,-0.0005834143631059385
flow_jump,10,8,2,203,103,203,303,test,all,coverage_90,jumps,low_n,no_flow,0.783841110682607,6967,0.736130240758085,6967,0.047710869924522004,-0.047710869924522004
flow_jump_observation,10,8,2,203,103,203,303,test,all,coverage_90,jumps,low_n,no_flow,0.7837860172993224,7642,0.7293813013057132,7642,0.05440471599360919,-0.05440471599360919
flow_jump,10,8,2,204,104,204,304,test,all,coverage_90,jumps,low_n,no_flow,0.915839153208206,6967,0.9164393278044524,6967,-0.0006001745962463945,-0.0006001745962463945
flow_jump_observation,10,8,2,204,104,204,304,test,all,coverage_90,jumps,low_n,no_flow,0.9157573112178088,7642,0.916357485814055,7642,-0.0006001745962461724,-0.0006001745962461724
flow_jump,10,8,2,205,105,205,305,test,all,coverage_90,jumps,low_n,no_flow,0.8353800289910566,6967,0.8156332904849164,6967,0.01974673850614017,-0.01974673850614017
flow_jump_observation,10,8,2,205,105,205,305,test,all,coverage_90,jumps,low_n,no_flow,0.8354073790443891,7642,0.8157426906982469,7642,0.01966468834614221,-0.01966468834614221
flow_jump,20,16,4,201,101,201,301,test,all,coverage_90,jumps,low_n,no_flow,0.8656054639090083,6967,0.8761256919390819,6967,-0.010520228030073575,0.010520228030073575
flow_jump_observation,20,16,4,201,101,201,301,test,all,coverage_90,jumps,low_n,no_flow,0.8656054639090083,7642,0.8767866486739555,7642,-0.011181184764947227,0.011181184764947227
flow_jump,20,16,4,202,102,202,302,test,all,coverage_90,jumps,low_n,no_flow,0.9219336018891512,6967,0.9083483817196832,6967,0.013585220169467949,0.013585220169467949
flow_jump_observation,20,16,4,202,102,202,302,test,all,coverage_90,jumps,low_n,no_flow,0.9219336018891512,7642,0.9083483817196832,7642,0.013585220169467949,0.013585220169467949
flow_jump,20,16,4,203,103,203,303,test,all,coverage_90,jumps,low_n,no_flow,0.9195085670211008,6967,0.8944961710098617,6967,0.02501239601123917,0.014004738030962471
flow_jump_observation,20,16,4,203,103,203,303,test,all,coverage_90,jumps,low_n,no_flow,0.919453473637816,7642,0.8946614511597157,7642,0.024792022478100306,0.014114924797531736
flow_jump,20,16,4,204,104,204,304,test,all,coverage_90,jumps,low_n,no_flow,0.8194565691837625,6967,0.826631383675251,6967,-0.00717481449148849,0.00717481449148849
flow_jump_observation,20,16,4,204,104,204,304,test,all,coverage_90,jumps,low_n,no_flow,0.8228393714535137,7642,0.8292503273679616,7642,-0.006410955914447847,0.006410955914447847
flow_jump,20,16,4,205,105,205,305,test,all,coverage_90,jumps,low_n,no_flow,0.8876733309629954,6967,0.887563930749665,6967,0.00010940021333039063,-0.00010940021333039063
flow_jump_observation,20,16,4,205,105,205,305,test,all,coverage_90,jumps,low_n,no_flow,0.8877553811229932,7642,0.887563930749665,7642,0.0001914503733282391,-0.0001914503733282391
flow_jump,40,32,8,201,101,201,301,test,all,coverage_90,jumps,low_n,no_flow,0.9028393599735616,6967,0.8714163752031064,6967,0.03142298477045513,-0.02574426482333203
flow_jump_observation,40,32,8,201,101,201,301,test,all,coverage_90,jumps,low_n,no_flow,0.9027842802456556,7642,0.871609154250778,7642,0.031175125994877595,-0.025606565503566436
flow_jump,40,32,8,202,102,202,302,test,all,coverage_90,jumps,low_n,no_flow,0.8711765522989304,6967,0.8990693151826643,6967,-0.02789276288373388,0.02789276288373388
flow_jump_observation,40,32,8,202,102,202,302,test,all,coverage_90,jumps,low_n,no_flow,0.8712598972079455,7642,0.8990693151826643,7642,-0.02780941797471881,0.02780941797471881
flow_jump,40,32,8,203,103,203,303,test,all,coverage_90,jumps,low_n,no_flow,0.9284887884965016,6967,0.9061208748829266,6967,0.02236791361357504,0.02236791361357504
flow_jump_observation,40,32,8,203,103,203,303,test,all,coverage_90,jumps,low_n,no_flow,0.9286265219547132,7642,0.90639634179935,7642,0.022230180155363155,0.022230180155363155
flow_jump,40,32,8,204,104,204,304,test,all,coverage_90,jumps,low_n,no_flow,0.8900316455696202,6967,0.9028262767350502,6967,-0.012794631165430004,0.007142077695329596
flow_jump_observation,40,32,8,204,104,204,304,test,all,coverage_90,jumps,low_n,no_flow,0.8900043649061545,7642,0.9029081187254474,7642,-0.012903753819292874,0.007087516368398106
flow_jump,40,32,8,205,105,205,305,test,all,coverage_90,jumps,low_n,no_flow,0.9248967535486694,6967,0.903645762109236,6967,0.02125099143943343,0.02125099143943343
flow_jump_observation,40,32,8,205,105,205,305,test,all,coverage_90,jumps,low_n,no_flow,0.9248694034953368,7642,0.9037825123758992,7642,0.021086891119437512,0.021086891119437512
flow_jump,80,64,16,201,101,201,301,test,all,coverage_90,jumps,low_n,no_flow,0.8784390405111399,6967,0.859767012750957,6967,0.01867202776018284,-0.01867202776018284
flow_jump_observation,80,64,16,201,101,201,301,test,all,coverage_90,jumps,low_n,no_flow,0.8781911817355622,7642,0.8601525708463,7642,0.018038610889262174,-0.018038610889262174
flow_jump,80,64,16,202,102,202,302,test,all,coverage_90,jumps,low_n,no_flow,0.8977635782747604,6967,0.8922072510070843,6967,0.0055563272676760755,-0.0055563272676760755
flow_jump_observation,80,64,16,202,102,202,302,test,all,coverage_90,jumps,low_n,no_flow,0.897735796638422,7642,0.8920961244617308,7642,0.005639672176691146,-0.005639672176691146
flow_jump,80,64,16,203,103,203,303,test,all,coverage_90,jumps,low_n,no_flow,0.9134758415514296,6967,0.8744146328026005,6967,0.039061208748829124,-0.01210952564597001
flow_jump_observation,80,64,16,203,103,203,303,test,all,coverage_90,jumps,low_n,no_flow,0.913420748168145,7642,0.8739738857363231,7642,0.03944686243182194,-0.012605366095531978
flow_jump,80,64,16,204,104,204,304,test,all,coverage_90,jumps,low_n,no_flow,0.9266968572675688,6967,0.9204495853339152,6967,0.0062472719336535976,0.0062472719336535976
flow_jump_observation,80,64,16,204,104,204,304,test,all,coverage_90,jumps,low_n,no_flow,0.9266968572675688,7642,0.920695111305107,7642,0.006001745962461835,0.006001745962461835
flow_jump,80,64,16,205,105,205,305,test,all,coverage_90,jumps,low_n,no_flow,0.9146404835489428,6967,0.9148319339222712,6967,-0.00019145037332846115,-0.00019145037332846115
flow_jump_observation,80,64,16,205,105,205,305,test,all,coverage_90,jumps,low_n,no_flow,0.9146131334956104,7642,0.914777233815606,7642,-0.00016410031999569696,-0.00016410031999569696
flow_jump,100,80,20,201,101,201,301,test,all,coverage_90,jumps,low_n,no_flow,0.8833686761587398,6967,0.8777780837762661,6967,0.005590592382473725,-0.005590592382473725
flow_jump_observation,100,80,20,201,101,201,301,test,all,coverage_90,jumps,low_n,no_flow,0.8834237558866459,7642,0.8778331635041723,7642,0.005590592382473614,-0.005590592382473614
flow_jump,100,80,20,202,102,202,302,test,all,coverage_90,jumps,low_n,no_flow,0.90240311154327,6967,0.9117099597166272,6967,-0.00930684817335714,-0.00930684817335714
flow_jump_observation,100,80,20,202,102,202,302,test,all,coverage_90,jumps,low_n,no_flow,0.9025975829976386,7642,0.9116266148076122,7642,-0.009029031809973609,-0.009029031809973609
flow_jump,100,80,20,203,103,203,303,test,all,coverage_90,jumps,low_n,no_flow,0.8877196848658476,6967,0.8774998622665418,6967,0.010219822599305872,-0.010219822599305872
flow_jump_observation,100,80,20,203,103,203,303,test,all,coverage_90,jumps,low_n,no_flow,0.8877472315574899,7642,0.8776651424163958,7642,0.010082089141094097,-0.010082089141094097
flow_jump,100,80,20,204,104,204,304,test,all,coverage_90,jumps,low_n,no_flow,0.9400371017023134,6967,0.9337079877782628,6967,0.006329113924050556,0.006329113924050556
flow_jump_observation,100,80,20,204,104,204,304,test,all,coverage_90,jumps,low_n,no_flow,0.939982540375382,7642,0.933680707114797,7642,0.006301833260584977,0.006301833260584977
flow_jump,100,80,20,205,105,205,305,test,all,coverage_90,jumps,low_n,no_flow,0.9083773213357766,6967,0.9161994365889014,6967,-0.007822115253124706,-0.007822115253124706
flow_jump_observation,100,80,20,205,105,205,305,test,all,coverage_90,jumps,low_n,no_flow,0.9083226212291114,7642,0.9165549872822252,7642,-0.008232366053113727,-0.008232366053113727
flow_jump,5,4,1,201,101,201,301,test,all,coverage_90,misspecified,low_n,no_flow,0.7568909467047582,6967,0.7547827800216728,6967,0.002108166683085444,-0.002108166683085444
flow_jump_observation,5,4,1,201,101,201,301,test,all,coverage_90,misspecified,low_n,no_flow,0.7477686927396315,7642,0.7569303516894887,7642,-0.00916165894985721,0.00916165894985721
flow_jump,5,4,1,202,102,202,302,test,all,coverage_90,misspecified,low_n,no_flow,0.8314278480026489,6967,0.8157489823344954,6967,0.015678865668153463,-0.015678865668153463
flow_jump_observation,5,4,1,202,102,202,302,test,all,coverage_90,misspecified,low_n,no_flow,0.8318173850378825,7642,0.79946633426173,7642,0.03235105077615252,-0.03235105077615252
flow_jump,5,4,1,203,103,203,303,test,all,coverage_90,misspecified,low_n,no_flow,0.6977472686841342,6967,0.6146185826162622,6967,0.08312868606787194,-0.08312868606787194
flow_jump_observation,5,4,1,203,103,203,303,test,all,coverage_90,misspecified,low_n,no_flow,0.6985980856618003,7642,0.6892971091559509,7642,0.009300976505849379,-0.009300976505849379
flow_jump,5,4,1,204,104,204,304,test,all,coverage_90,misspecified,low_n,no_flow,0.714382619144524,6967,0.698800317847937,6967,0.015582301296586998,-0.015582301296586998
flow_jump_observation,5,4,1,204,104,204,304,test,all,coverage_90,misspecified,low_n,no_flow,0.7147508576080005,7642,0.699013508537318,7642,0.01573734907068247,-0.01573734907068247
flow_jump,5,4,1,205,105,205,305,test,all,coverage_90,misspecified,low_n,no_flow,0.7809915720333953,6967,0.8023780318917422,6967,-0.021386459858346862,0.021386459858346862
flow_jump_observation,5,4,1,205,105,205,305,test,all,coverage_90,misspecified,low_n,no_flow,0.7808135164009021,7642,0.8025758714834013,7642,-0.02176235508249913,0.02176235508249913
flow_jump,10,8,2,201,101,201,301,test,all,coverage_90,misspecified,low_n,no_flow,0.7201063934587726,6967,0.6772140675795488,6967,0.04289232587922376,-0.04289232587922376
flow_jump_observation,10,8,2,201,101,201,301,test,all,coverage_90,misspecified,low_n,no_flow,0.7201260959511379,7642,0.6772140675795488,7642,0.04291202837158903,-0.04291202837158903
flow_jump,10,8,2,202,102,202,302,test,all,coverage_90,misspecified,low_n,no_flow,0.8847944218296555,6967,0.89538982918801,6967,-0.010595407358354514,0.010595407358354514
flow_jump_observation,10,8,2,202,102,202,302,test,all,coverage_90,misspecified,low_n,no_flow,0.8826324912841088,7642,0.8963441949243325,7642,-0.013711703640223671,0.013711703640223671
flow_jump,10,8,2,203,103,203,303,test,all,coverage_90,misspecified,low_n,no_flow,0.7759450836314415,6967,0.7770666151020014,6967,-0.0011215314705598223,0.0011215314705598223
flow_jump_observation,10,8,2,203,103,203,303,test,all,coverage_90,misspecified,low_n,no_flow,0.7757903896355023,7642,0.7769699313545393,7642,-0.0011795417190370028,0.0011795417190370028
flow_jump,10,8,2,204,104,204,304,test,all,coverage_90,misspecified,low_n,no_flow,0.7155842393937633,6967,0.7420198848770277,6967,-0.02643564548326449,0.02643564548326449
