stage,world,cohort_seed,subset_seed,model_seed,n_train,n_fit,n_validation,model,variant,optimization_policy,split,site_or_shift,metric,value,trainable_parameters,backend
phase07,smooth,406,506,1103,40,32,8,phase05_flow_jump,time_scaled__none__deterministic,forced_horizon,test,all,event_log_loss,0.1475180413265812,4156,torch
phase07,smooth,406,506,1103,40,32,8,phase05_flow_jump,time_scaled__none__deterministic,forced_horizon,test,all,latent_aligned_r2,0.3137565218615837,4156,torch
phase07,smooth,406,506,1103,40,32,8,phase05_flow_jump,time_scaled__none__deterministic,standard_early_stop,test,all,mae,0.2615249454975128,4156,torch
phase07,smooth,406,506,1103,40,32,8,phase05_flow_jump,time_scaled__none__deterministic,standard_early_stop,test,all,rmse,0.4197283099081766,4156,torch
phase07,smooth,406,506,1103,40,32,8,phase05_flow_jump,time_scaled__none__deterministic,standard_early_stop,test,all,event_roc_auc,0.5095210056824481,4156,torch
phase07,smooth,406,506,1103,40,32,8,phase05_flow_jump,time_scaled__none__deterministic,standard_early_stop,test,all,event_brier,0.0321147304508981,4156,torch
phase07,smooth,406,506,1103,40,32,8,phase05_flow_jump,time_scaled__none__deterministic,standard_early_stop,test,all,event_log_loss,0.1475180413265812,4156,torch
phase07,smooth,406,506,1103,40,32,8,phase05_flow_jump,time_scaled__none__deterministic,standard_early_stop,test,all,latent_aligned_r2,0.3137565218615837,4156,torch
phase07,smooth,406,506,1104,40,32,8,phase05_flow_jump,none__none__deterministic,forced_horizon,test,all,mae,0.311658650636673,3556,torch
phase07,smooth,406,506,1104,40,32,8,phase05_flow_jump,none__none__deterministic,forced_horizon,test,all,rmse,0.5034367347867752,3556,torch
phase07,smooth,406,506,1104,40,32,8,phase05_flow_jump,none__none__deterministic,forced_horizon,test,all,event_roc_auc,0.5399979194554253,3556,torch
phase07,smooth,406,506,1104,40,32,8,phase05_flow_jump,none__none__deterministic,forced_horizon,test,all,event_brier,0.0296639425461151,3556,torch
phase07,smooth,406,506,1104,40,32,8,phase05_flow_jump,none__none__deterministic,forced_horizon,test,all,event_log_loss,0.139209397983571,3556,torch
phase07,smooth,406,506,1104,40,32,8,phase05_flow_jump,none__none__deterministic,forced_horizon,test,all,latent_aligned_r2,0.3146777899529157,3556,torch
phase07,smooth,406,506,1104,40,32,8,phase05_flow_jump,none__none__deterministic,standard_early_stop,test,all,mae,0.311658650636673,3556,torch
phase07,smooth,406,506,1104,40,32,8,phase05_flow_jump,none__none__deterministic,standard_early_stop,test,all,rmse,0.5034367347867752,3556,torch
phase07,smooth,406,506,1104,40,32,8,phase05_flow_jump,none__none__deterministic,standard_early_stop,test,all,event_roc_auc,0.5399979194554253,3556,torch
phase07,smooth,406,506,1104,40,32,8,phase05_flow_jump,none__none__deterministic,standard_early_stop,test,all,event_brier,0.0296639425461151,3556,torch
phase07,smooth,406,506,1104,40,32,8,phase05_flow_jump,none__none__deterministic,standard_early_stop,test,all,event_log_loss,0.139209397983571,3556,torch
phase07,smooth,406,506,1104,40,32,8,phase05_flow_jump,none__none__deterministic,standard_early_stop,test,all,latent_aligned_r2,0.3146777899529157,3556,torch
phase07,smooth,406,506,1104,40,32,8,phase05_flow_jump,time_scaled__none__deterministic,forced_horizon,test,all,mae,0.2660888433456421,4156,torch
phase07,smooth,406,506,1104,40,32,8,phase05_flow_jump,time_scaled__none__deterministic,forced_horizon,test,all,rmse,0.4291658008745713,4156,torch
phase07,smooth,406,506,1104,40,32,8,phase05_flow_jump,time_scaled__none__deterministic,forced_horizon,test,all,event_roc_auc,0.5089879054203922,4156,torch
phase07,smooth,406,506,1104,40,32,8,phase05_flow_jump,time_scaled__none__deterministic,forced_horizon,test,all,event_brier,0.034018722622475,4156,torch
