stage,world,cohort_seed,subset_seed,model_seed,n_train,Delta_MAE,control_mae,time_scaled_mae,control_selected_epoch,control_shadow_mae_epoch,control_stop_epoch,control_early_stop_reason,candidate_selected_epoch,candidate_shadow_mae_epoch,candidate_stop_epoch,candidate_early_stop_reason,control_prefix10_gradient_l2_mean,control_prefix10_parameter_l2_mean,control_prefix10_flow_displacement_mean,candidate_prefix10_gradient_l2_mean,candidate_prefix10_parameter_l2_mean,candidate_prefix10_flow_displacement_mean,delta_selected_epoch,delta_stop_epoch,delta_shadow_mae_epoch,control_selection_shadow_gap,candidate_selection_shadow_gap,delta_selection_shadow_gap,control_patience_exhausted,candidate_patience_exhausted,delta_patience_exhausted,delta_prefix10_gradient_l2_mean,delta_prefix10_parameter_l2_mean
d4b,smooth,404,504,1001,40,-0.0376810729503631,0.2965122759342193,0.3341933488845825,100,100,100,max_epochs_reached,36,48,48,patience_exhausted,1.1341995298862457,7.0114294528961185,0.0,0.9740011692047119,7.569092750549316,0.30113914608955383,-64,-52,-52,0,-12,-12,0,1,1,-0.1601983606815338,0.5576632976531979
d4b,smooth,404,504,1002,40,-0.0144374668598175,0.3083646595478058,0.3228021264076233,100,100,100,max_epochs_reached,43,32,55,patience_exhausted,1.1025661110877991,7.006320858001709,0.0,1.4008297801017762,7.569044923782348,0.3227102398872375,-57,-45,-68,0,11,11,0,1,1,0.29826366901397705,0.5627240657806389
d4b,smooth,404,504,1003,40,-0.019363909959793,0.300304502248764,0.3196684122085571,100,100,100,max_epochs_reached,36,48,48,patience_exhausted,1.1087324380874635,7.103271341323852,0.0,1.250285565853119,7.705212831497192,0.4079033851623535,-64,-52,-52,0,-12,-12,0,1,1,0.14155312776565543,0.6019414901733402
d4b,smooth,404,504,1004,40,0.0370402336120605,0.2926122844219208,0.2555720508098602,100,100,100,max_epochs_reached,100,100,100,max_epochs_reached,0.9395941138267517,7.051916837692261,0.0,1.392778706550598,7.6763505935668945,0.312683978676796,0,0,0,0,0,0,0,0,0,0.45318459272384637,0.6244337558746338
d4b,smooth,404,504,1005,40,-0.0182123184204101,0.3126753866672516,0.3308877050876617,100,100,100,max_epochs_reached,39,51,51,patience_exhausted,1.2223125219345092,6.994963121414185,0.0,1.1221635937690735,7.560779190063476,0.30714339017868036,-61,-49,-49,0,-12,-12,0,1,1,-0.10014892816543575,0.5658160686492915
d4b,smooth,404,504,1006,40,-0.0430158674716949,0.3054095804691314,0.3484254479408264,100,100,100,max_epochs_reached,37,40,49,patience_exhausted,1.0634394109249115,7.053107833862304,0.0,1.1773795247077943,7.611473608016968,0.32827125191688533,-63,-51,-60,0,-3,-3,0,1,1,0.11394011378288282,0.5583657741546633
d4b,smooth,404,504,1007,40,-0.073986142873764,0.2676967978477478,0.3416829407215118,100,100,100,max_epochs_reached,36,45,48,patience_exhausted,0.8658557295799255,7.153926849365234,0.0,0.9688553214073181,7.6980393409729,0.28915599584579466,-64,-52,-55,0,-9,-9,0,1,1,0.1029995918273926,0.5441124916076658
d4b,smooth,404,504,1008,40,-0.0582032203674316,0.2695774137973785,0.3277806341648102,100,100,100,max_epochs_reached,42,45,54,patience_exhausted,1.0733304619789124,7.131585741043091,0.0,1.2386962056159974,7.666515111923218,0.31692128181457513,-58,-46,-55,0,-3,-3,0,1,1,0.165365743637085,0.5349293708801266
d4b,smooth,404,504,1009,40,-0.0332349240779876,0.2973265051841736,0.3305614292621612,100,100,100,max_epochs_reached,41,53,53,patience_exhausted,0.9998333394527436,7.025727272033691,0.0,1.2180060744285583,7.589451313018799,0.3041820108890533,-59,-47,-47,0,-12,-12,0,1,1,0.2181727349758148,0.5637240409851074
d4b,smooth,404,504,1010,40,-0.0120772421360015,0.2958162128925323,0.3078934550285339,100,100,100,max_epochs_reached,38,38,50,patience_exhausted,0.9571233987808228,6.967372131347656,0.0,1.2064226746559144,7.56610336303711,0.24739702492952342,-62,-50,-62,0,0,0,0,1,1,0.2492992758750916,0.5987312316894533
d4b,smooth,405,505,1001,40,0.063249796628952,0.3194385170936584,0.2561887204647064,100,100,100,max_epochs_reached,100,100,100,max_epochs_reached,1.1362246751785279,7.011362981796265,0.0,0.9952472507953644,7.565352439880371,0.29058920145034783,0,0,0,0,0,0,0,0,0,-0.14097742438316352,0.5539894580841063
d4b,smooth,405,505,1002,40,0.0339255630970001,0.3179576098918915,0.2840320467948913,100,100,100,max_epochs_reached,100,100,100,max_epochs_reached,1.114831519126892,7.004822444915772,0.0,1.3814687967300414,7.569554710388184,0.3274522125720977,0,0,0,0,0,0,0,0,0,0.26663727760314937,0.5647322654724123
d4b,smooth,405,505,1003,40,0.0290377140045166,0.3041156828403473,0.2750779688358307,100,100,100,max_epochs_reached,100,100,100,max_epochs_reached,1.026048618555069,7.108143997192383,0.0,1.371756386756897,7.704141330718994,0.3986394852399826,0,0,0,0,0,0,0,0,0,0.3457077682018279,0.5959973335266113
d4b,smooth,405,505,1004,40,0.0604315996170043,0.3237433135509491,0.2633117139339447,100,100,100,max_epochs_reached,100,100,100,max_epochs_reached,1.0147450149059296,7.0506250858306885,0.0,1.4090368151664734,7.674241256713867,0.300570011138916,0,0,0,0,0,0,0,0,0,0.3942918002605438,0.6236161708831789
d4b,smooth,405,505,1005,40,0.0581135749816894,0.3249595463275909,0.2668459713459015,100,100,100,max_epochs_reached,100,100,100,max_epochs_reached,1.2259275436401367,6.991710758209228,0.0,1.1017200350761414,7.562536811828613,0.31607325375080103,0,0,0,0,0,0,0,0,0,-0.12420750856399532,0.5708260536193848
d4b,smooth,405,505,1006,40,-0.0247507095336914,0.3272641003131866,0.352014809846878,100,100,100,max_epochs_reached,50,27,62,patience_exhausted,1.060245829820633,7.05538649559021,0.0,1.2277096271514893,7.610328435897827,0.3318757593631744,-50,-38,-73,0,23,23,0,1,1,0.16746379733085637,0.554941940307617
d4b,smooth,405,505,1007,40,0.0276271700859069,0.2891311943531036,0.2615040242671966,100,100,100,max_epochs_reached,100,100,100,max_epochs_reached,0.8912993192672729,7.153750801086426,0.0,1.008578884601593,7.700424718856811,0.30665613710880274,0,0,0,0,0,0,0,0,0,0.11727956533432016,0.5466739177703852
d4b,smooth,405,505,1008,40,0.0265679955482482,0.3117260336875915,0.2851580381393432,100,100,100,max_epochs_reached,100,100,100,max_epochs_reached,1.1143407702445984,7.1273260593414305,0.0,1.2747387528419494,7.667006254196167,0.31466889083385463,0,0,0,0,0,0,0,0,0,0.16039798259735094,0.5396801948547365
d4b,smooth,405,505,1009,40,-0.0160662829875946,0.3263165652751922,0.3423828482627868,100,100,100,max_epochs_reached,44,22,56,patience_exhausted,1.0620540976524353,7.030622434616089,0.0,1.2013195037841797,7.585689067840576,0.31292818188667293,-56,-44,-78,0,22,22,0,1,1,0.13926540613174443,0.5550666332244871
