candidate,control,n_train,metric,candidate_mean,control_mean,mean_effect,median_effect,sd_effect,wins,win_fraction
gated,none,40,event_brier,0.03698510445021967,0.031637780843113084,-0.0053473236071065935,-0.0050040147861714936,0.0069956174506085,1,0.2
gated,none,40,event_log_loss,0.16400539792109078,0.14568578142699862,-0.018319616494092177,-0.016246703222332626,0.02660023588919627,1,0.2
gated,none,40,event_roc_auc,0.5059432848195573,0.4977100353304163,0.008233249489141115,0.010844100321138028,0.012019792861915637,4,0.8
gated,none,40,latent_aligned_r2,0.272647585654992,0.315199223893787,-0.04255163823879512,-0.041307817656403345,0.03814657143369068,1,0.2
gated,none,40,mae,0.29993598759174345,0.3149533271789551,0.015017339587211609,0.04692140221595764,0.06829272751514621,3,0.6
gated,none,40,rmse,0.4541499967081837,0.4966475793354982,0.042497582627314415,0.07562996686335105,0.09586784074001634,3,0.6
time_scaled,none,5,event_brier,0.03171934803334797,0.030835250845667867,-0.0008840971876801093,-0.0004367389844811935,0.0010731211480440094,1,0.2
time_scaled,none,5,event_log_loss,0.16342020568725862,0.14002032193559938,-0.023399883751659262,-0.023159177061332553,0.007077961437566527,0,0.0
time_scaled,none,5,event_roc_auc,0.5094408691823158,0.5028694455480746,0.006571423634241402,0.01565659474724196,0.02377142667417396,3,0.6
time_scaled,none,5,latent_aligned_r2,0.2474654211174121,0.26541137409206667,-0.017945952974654584,-0.0425045543020284,0.03584346666174662,2,0.4
time_scaled,none,5,mae,0.39424007534980776,0.38497027158737185,-0.009269803762435913,-0.015631288290023804,0.015285489484677459,1,0.2
time_scaled,none,5,rmse,0.6153749138606918,0.6055838459970417,-0.009791067863650004,-0.02117659103281011,0.028317255742828326,1,0.2
time_scaled,none,10,event_brier,0.03522799071791965,0.032642979111985694,-0.0025850116059339583,-0.0008902417646948699,0.0033844327153429955,2,0.4
time_scaled,none,10,event_log_loss,0.16563404241114363,0.15147604156907823,-0.014158000842065388,-0.011496877739686995,0.010078984368529003,0,0.0
time_scaled,none,10,event_roc_auc,0.5098185507319816,0.5019452290131564,0.007873321718825066,0.007823337413300657,0.012432416993350983,4,0.8
time_scaled,none,10,latent_aligned_r2,0.28810902012652595,0.29587609175513246,-0.0077670716286064815,-0.015114602361190832,0.04318876050458448,1,0.2
time_scaled,none,10,mae,0.3381453514099121,0.33129775524139404,-0.006847596168518067,-0.004379451274871826,0.016671602161981096,1,0.2
time_scaled,none,10,rmse,0.5306022011857421,0.5195666671010618,-0.011035534084680398,-0.00957799143929472,0.027423948866118493,1,0.2
time_scaled,none,20,event_brier,0.03449957019648743,0.031548330751878,-0.002951239444609436,-0.0028633809593541296,0.0025544130014817775,1,0.2
time_scaled,none,20,event_log_loss,0.15753484096002687,0.1459989478208527,-0.011535893139174158,-0.013327178767795184,0.00985215419967346,1,0.2
time_scaled,none,20,event_roc_auc,0.511266199926184,0.49833764566647326,0.012928554259710744,0.018499361438133466,0.013662544965075485,4,0.8
time_scaled,none,20,latent_aligned_r2,0.29519822971192944,0.3226768061761509,-0.027478576464221516,-0.03621101242403735,0.03767746197547643,1,0.2
time_scaled,none,20,mae,0.29957669973373413,0.2990104675292969,-0.0005662322044372558,-0.02203693985939026,0.04400359192869058,2,0.4
time_scaled,none,20,rmse,0.4658510531811183,0.46652986613080766,0.0006788129496894668,-0.03377461712656599,0.07031072995029913,2,0.4
time_scaled,none,40,event_brier,0.033859542173243745,0.031637780843113084,-0.0022217613301306663,-0.0009560394307735372,0.003847969713394485,2,0.4
time_scaled,none,40,event_log_loss,0.15335193744921138,0.14568578142699862,-0.007666156022212767,-0.0043030040306278605,0.01641064031181297,2,0.4
time_scaled,none,40,event_roc_auc,0.5155883383933885,0.4977100353304163,0.017878303062972258,0.018435427177637465,0.020844911622389068,4,0.8
time_scaled,none,40,latent_aligned_r2,0.30313658739131544,0.315199223893787,-0.012062636502471658,-0.013275585226431574,0.025204165565614785,1,0.2
