backend,cohort_seed,metric,model,model_seed,n_fit,n_train,n_validation,site_or_shift,split,stage,subset_seed,trainable_parameters,value,variant,world
torch,402,event_brier,phase05_flow_jump,602,32,40,8,all,test,flow,502,4804,0.030147028235812178,gated__none__deterministic,smooth
torch,402,event_log_loss,phase05_flow_jump,602,32,40,8,all,test,flow,502,4804,0.1405479690807663,gated__none__deterministic,smooth
torch,402,latent_aligned_r2,phase05_flow_jump,602,32,40,8,all,test,flow,502,4804,0.29019062539869306,gated__none__deterministic,smooth
torch,402,mae,phase05_flow_jump,602,32,40,8,all,test,flow,502,3556,0.34562671184539795,none__none__deterministic,smooth
torch,402,rmse,phase05_flow_jump,602,32,40,8,all,test,flow,502,3556,0.5412988575474924,none__none__deterministic,smooth
torch,402,event_roc_auc,phase05_flow_jump,602,32,40,8,all,test,flow,502,3556,0.5109116107460041,none__none__deterministic,smooth
torch,402,event_brier,phase05_flow_jump,602,32,40,8,all,test,flow,502,3556,0.033723009998581584,none__none__deterministic,smooth
torch,402,event_log_loss,phase05_flow_jump,602,32,40,8,all,test,flow,502,3556,0.15789441163377127,none__none__deterministic,smooth
torch,402,latent_aligned_r2,phase05_flow_jump,602,32,40,8,all,test,flow,502,3556,0.27455053879758434,none__none__deterministic,smooth
torch,402,mae,phase05_flow_jump,602,32,40,8,all,test,flow,502,4156,0.30349305272102356,time_scaled__none__deterministic,smooth
torch,402,rmse,phase05_flow_jump,602,32,40,8,all,test,flow,502,4156,0.4568587735760954,time_scaled__none__deterministic,smooth
torch,402,event_roc_auc,phase05_flow_jump,602,32,40,8,all,test,flow,502,4156,0.5000193855298806,time_scaled__none__deterministic,smooth
torch,402,event_brier,phase05_flow_jump,602,32,40,8,all,test,flow,502,4156,0.033211398851936455,time_scaled__none__deterministic,smooth
torch,402,event_log_loss,phase05_flow_jump,602,32,40,8,all,test,flow,502,4156,0.15187556064609245,time_scaled__none__deterministic,smooth
torch,402,latent_aligned_r2,phase05_flow_jump,602,32,40,8,all,test,flow,502,4156,0.29985155832180804,time_scaled__none__deterministic,smooth
torch,402,mae,phase05_flow_jump,602,4,5,1,all,test,flow,502,4804,0.4284639358520508,gated__none__deterministic,smooth
torch,402,rmse,phase05_flow_jump,602,4,5,1,all,test,flow,502,4804,0.6385222560137318,gated__none__deterministic,smooth
torch,402,event_roc_auc,phase05_flow_jump,602,4,5,1,all,test,flow,502,4804,0.5189099640615538,gated__none__deterministic,smooth
torch,402,event_brier,phase05_flow_jump,602,4,5,1,all,test,flow,502,4804,0.03169872268865876,gated__none__deterministic,smooth
torch,402,event_log_loss,phase05_flow_jump,602,4,5,1,all,test,flow,502,4804,0.1572856977345067,gated__none__deterministic,smooth
torch,402,latent_aligned_r2,phase05_flow_jump,602,4,5,1,all,test,flow,502,4804,0.1711773313964444,gated__none__deterministic,smooth
torch,402,mae,phase05_flow_jump,602,4,5,1,all,test,flow,502,3556,0.44517338275909424,none__none__deterministic,smooth
torch,402,rmse,phase05_flow_jump,602,4,5,1,all,test,flow,502,3556,0.6634432429722288,none__none__deterministic,smooth
torch,402,event_roc_auc,phase05_flow_jump,602,4,5,1,all,test,flow,502,3556,0.5135230742472773,none__none__deterministic,smooth
torch,402,event_brier,phase05_flow_jump,602,4,5,1,all,test,flow,502,3556,0.033264973395900455,none__none__deterministic,smooth
torch,402,event_log_loss,phase05_flow_jump,602,4,5,1,all,test,flow,502,3556,0.15336071303062906,none__none__deterministic,smooth
torch,402,latent_aligned_r2,phase05_flow_jump,602,4,5,1,all,test,flow,502,3556,0.18746743017303902,none__none__deterministic,smooth
torch,402,mae,phase05_flow_jump,602,4,5,1,all,test,flow,502,4156,0.4552229940891266,time_scaled__none__deterministic,smooth
torch,402,rmse,phase05_flow_jump,602,4,5,1,all,test,flow,502,4156,0.6635425776221362,time_scaled__none__deterministic,smooth
