candidate,control,cohort_seed,subset_seed,model_seed,n_train,metric,candidate_value,control_value,effect,candidate_better
time_scaled,none,401,501,601,20,event_brier,0.03755605826924985,0.03123032671847373,-0.006325731550776117,False
time_scaled,none,401,501,601,20,event_log_loss,0.16524703209818675,0.14340346270870327,-0.02184356938948348,False
time_scaled,none,401,501,601,20,event_roc_auc,0.5375348818882124,0.514672025533424,0.022862856354788463,True
time_scaled,none,401,501,601,20,latent_aligned_r2,0.261973856312622,0.3411575348284028,-0.07918367851578079,False
time_scaled,none,401,501,601,20,mae,0.311482697725296,0.28944575786590576,-0.02203693985939026,False
time_scaled,none,401,501,601,20,rmse,0.46986821630096437,0.43310139169247,-0.0367668246084944,False
time_scaled,none,401,501,601,40,event_brier,0.030913534913023698,0.02995749548225016,-0.0009560394307735372,False
time_scaled,none,401,501,601,40,event_log_loss,0.14008496943197027,0.1357819654013424,-0.0043030040306278605,False
time_scaled,none,401,501,601,40,event_roc_auc,0.5407812912504679,0.49343199952715877,0.04734929172330915,True
time_scaled,none,401,501,601,40,latent_aligned_r2,0.29836205756216644,0.30785069615366,-0.00948863859149357,False
time_scaled,none,401,501,601,40,mae,0.26485440135002136,0.3053184151649475,0.04046401381492615,True
time_scaled,none,401,501,601,40,rmse,0.4078687914002569,0.4706932161799852,0.06282442477972833,True
time_scaled,none,402,502,602,5,event_brier,0.03311504966872642,0.033264973395900455,0.00014992372717403252,True
time_scaled,none,402,502,602,5,event_log_loss,0.16995834563334786,0.15336071303062906,-0.016597632602718793,False
time_scaled,none,402,502,602,5,event_roc_auc,0.5030258098169408,0.5135230742472773,-0.010497264430336495,False
time_scaled,none,402,502,602,5,latent_aligned_r2,0.21118344210502607,0.18746743017303902,0.023716011931987052,True
time_scaled,none,402,502,602,5,mae,0.4552229940891266,0.44517338275909424,-0.010049611330032349,False
time_scaled,none,402,502,602,5,rmse,0.6635425776221362,0.6634432429722288,-9.933464990741214e-05,False
time_scaled,none,402,502,602,10,event_brier,0.03213977412823098,0.03231756454999771,0.00017779042176672977,True
time_scaled,none,402,502,602,10,event_log_loss,0.1760256835844953,0.1477527724355632,-0.0282729111489321,False
time_scaled,none,402,502,602,10,event_roc_auc,0.5036596778729763,0.5104720632414916,-0.006812385368515361,False
time_scaled,none,402,502,602,10,latent_aligned_r2,0.2782470699578113,0.21581112217105858,0.06243594778675271,True
time_scaled,none,402,502,602,10,mae,0.31949976086616516,0.3356918394565582,0.016192078590393066,True
time_scaled,none,402,502,602,10,rmse,0.5071382594811633,0.5378970664531386,0.030758806971975305,True
time_scaled,none,402,502,602,20,event_brier,0.034413601449894006,0.03447738027559334,6.377882569933574e-05,True
time_scaled,none,402,502,602,20,event_log_loss,0.157497097489869,0.16234203928389845,0.004844941794029445,True
time_scaled,none,402,502,602,20,event_roc_auc,0.5040238156662531,0.5136291518667839,-0.009605336200530834,False
time_scaled,none,402,502,602,20,latent_aligned_r2,0.29975521696582935,0.2777183451994859,0.022036871766343447,True
time_scaled,none,402,502,602,20,mae,0.27353861927986145,0.3270762860774994,0.05353766679763794,True
time_scaled,none,402,502,602,20,rmse,0.4303535154876064,0.5216739895594065,0.09132047407180005,True
time_scaled,none,402,502,602,40,event_brier,0.033211398851936455,0.033723009998581584,0.0005116111466451287,True
time_scaled,none,402,502,602,40,event_log_loss,0.15187556064609245,0.15789441163377127,0.00601885098767882,True
time_scaled,none,402,502,602,40,event_roc_auc,0.5000193855298806,0.5109116107460041,-0.010892225216123541,False
time_scaled,none,402,502,602,40,latent_aligned_r2,0.29985155832180804,0.27455053879758434,0.0253010195242237,True
time_scaled,none,402,502,602,40,mae,0.30349305272102356,0.34562671184539795,0.04213365912437439,True
time_scaled,none,402,502,602,40,rmse,0.4568587735760954,0.5412988575474924,0.08444008397139702,True
time_scaled,none,403,503,603,5,event_brier,0.034045591268697335,0.031606899219220996,-0.002438692049476339,False
time_scaled,none,403,503,603,5,event_log_loss,0.1617047006179237,0.13854552355659114,-0.023159177061332553,False
time_scaled,none,403,503,603,5,event_roc_auc,0.5131486837268112,0.5391434947456284,-0.025994811018817177,False
time_scaled,none,403,503,603,5,latent_aligned_r2,0.26167827138779776,0.24291027627901757,0.01876799510878019,True
time_scaled,none,403,503,603,5,mae,0.4521443545818329,0.4365130662918091,-0.015631288290023804,False
time_scaled,none,403,503,603,5,rmse,0.7455782482521973,0.7148024333416123,-0.03077581491058501,False
time_scaled,none,403,503,603,10,event_brier,0.034261706883931736,0.033371465119236866,-0.0008902417646948699,False
time_scaled,none,403,503,603,10,event_log_loss,0.1540911242612097,0.15025514518189848,-0.0038359790793112136,False
time_scaled,none,403,503,603,10,event_roc_auc,0.507959738472819,0.5056954694931424,0.002264268979676576,True
time_scaled,none,403,503,603,10,latent_aligned_r2,0.29917858555943394,0.3005074305554881,-0.0013288449960541793,False
time_scaled,none,403,503,603,10,mae,0.3471214175224304,0.3441533148288727,-0.0029681026935577393,False
