cell_id_standard,cohort_seed,subset_seed,model_seed,flow_mode,test_mae_standard,epochs_run_standard,stop_epoch_standard,early_stop_reason_standard,would_patience_exhaust_epoch_standard,selected_checkpoint_epoch_standard,shadow_mae_checkpoint_epoch_standard,selected_validation_core_loss_standard,shadow_validation_mae_standard,cell_id_forced,test_mae_forced,epochs_run_forced,stop_epoch_forced,early_stop_reason_forced,would_patience_exhaust_epoch_forced,selected_checkpoint_epoch_forced,shadow_mae_checkpoint_epoch_forced,selected_validation_core_loss_forced,shadow_validation_mae_forced,H_architecture,standard_patience_exhausted,forced_patience_event,checkpoint_epoch_changed,test_mae_changed,patience_epoch_agrees
p07__smooth__cohort408__subset508__model1105__n40__none__standard_early_stop,408,508,1105,none,0.291895717382431,100,100,max_epochs_reached,,100,100,0.26835834980010986,0.33721116185188293,p07__smooth__cohort408__subset508__model1105__n40__none__forced_horizon,0.291895717382431,100,100,max_epochs_reached,,100,100,0.26835834980010986,0.33721116185188293,0.0,False,False,False,False,True
p07__smooth__cohort408__subset508__model1105__n40__time_scaled__standard_early_stop,408,508,1105,time_scaled,0.2390951067209243,100,100,max_epochs_reached,,100,100,0.2411009967327118,0.28960293531417847,p07__smooth__cohort408__subset508__model1105__n40__time_scaled__forced_horizon,0.2390951067209243,100,100,max_epochs_reached,,100,100,0.2411009967327118,0.28960293531417847,0.0,False,False,False,False,True
p07__smooth__cohort408__subset508__model1106__n40__none__standard_early_stop,408,508,1106,none,0.278815746307373,100,100,max_epochs_reached,,100,100,0.25292932987213135,0.322420597076416,p07__smooth__cohort408__subset508__model1106__n40__none__forced_horizon,0.278815746307373,100,100,max_epochs_reached,,100,100,0.25292932987213135,0.322420597076416,0.0,False,False,False,False,True
p07__smooth__cohort408__subset508__model1106__n40__time_scaled__standard_early_stop,408,508,1106,time_scaled,0.2388936579227447,100,100,max_epochs_reached,,100,100,0.24584375321865082,0.28004077076911926,p07__smooth__cohort408__subset508__model1106__n40__time_scaled__forced_horizon,0.2388936579227447,100,100,max_epochs_reached,,100,100,0.24584375321865082,0.28004077076911926,0.0,False,False,False,False,True
p07__smooth__cohort408__subset508__model1107__n40__none__standard_early_stop,408,508,1107,none,0.2943487763404846,100,100,max_epochs_reached,,100,100,0.2548309862613678,0.33632516860961914,p07__smooth__cohort408__subset508__model1107__n40__none__forced_horizon,0.2943487763404846,100,100,max_epochs_reached,,100,100,0.2548309862613678,0.33632516860961914,0.0,False,False,False,False,True
p07__smooth__cohort408__subset508__model1107__n40__time_scaled__standard_early_stop,408,508,1107,time_scaled,0.263693243265152,100,100,max_epochs_reached,,100,100,0.2567025125026703,0.2956719696521759,p07__smooth__cohort408__subset508__model1107__n40__time_scaled__forced_horizon,0.263693243265152,100,100,max_epochs_reached,,100,100,0.2567025125026703,0.2956719696521759,0.0,False,False,False,False,True
p07__smooth__cohort408__subset508__model1108__n40__none__standard_early_stop,408,508,1108,none,0.3107438385486603,100,100,max_epochs_reached,,100,100,0.27998000383377075,0.3533630073070526,p07__smooth__cohort408__subset508__model1108__n40__none__forced_horizon,0.3107438385486603,100,100,max_epochs_reached,,100,100,0.27998000383377075,0.3533630073070526,0.0,False,False,False,False,True
p07__smooth__cohort408__subset508__model1108__n40__time_scaled__standard_early_stop,408,508,1108,time_scaled,0.2596837282180786,100,100,max_epochs_reached,,100,100,0.2502530515193939,0.2966788411140442,p07__smooth__cohort408__subset508__model1108__n40__time_scaled__forced_horizon,0.2596837282180786,100,100,max_epochs_reached,,100,100,0.2502530515193939,0.2966788411140442,0.0,False,False,False,False,True
p07__smooth__cohort408__subset508__model1109__n40__none__standard_early_stop,408,508,1109,none,0.2838652729988098,100,100,max_epochs_reached,,100,100,0.23419660329818726,0.3113805055618286,p07__smooth__cohort408__subset508__model1109__n40__none__forced_horizon,0.2838652729988098,100,100,max_epochs_reached,,100,100,0.23419660329818726,0.3113805055618286,0.0,False,False,False,False,True
p07__smooth__cohort408__subset508__model1109__n40__time_scaled__standard_early_stop,408,508,1109,time_scaled,0.2593211233615875,100,100,max_epochs_reached,,100,100,0.261497437953949,0.3133352994918823,p07__smooth__cohort408__subset508__model1109__n40__time_scaled__forced_horizon,0.2593211233615875,100,100,max_epochs_reached,,100,100,0.261497437953949,0.3133352994918823,0.0,False,False,False,False,True
p07__smooth__cohort408__subset508__model1110__n40__none__standard_early_stop,408,508,1110,none,0.2994246184825897,100,100,max_epochs_reached,,100,100,0.25760453939437866,0.3432978689670563,p07__smooth__cohort408__subset508__model1110__n40__none__forced_horizon,0.2994246184825897,100,100,max_epochs_reached,,100,100,0.25760453939437866,0.3432978689670563,0.0,False,False,False,False,True
p07__smooth__cohort408__subset508__model1110__n40__time_scaled__standard_early_stop,408,508,1110,time_scaled,0.2678128778934479,100,100,max_epochs_reached,,100,94,0.2584739625453949,0.30818596482276917,p07__smooth__cohort408__subset508__model1110__n40__time_scaled__forced_horizon,0.2678128778934479,100,100,max_epochs_reached,,100,94,0.2584739625453949,0.30818596482276917,0.0,False,False,False,False,True
p07__smooth__cohort409__subset509__model1101__n40__none__standard_early_stop,409,509,1101,none,0.3006871044635772,100,100,max_epochs_reached,,100,100,0.17152874171733856,0.23259983956813812,p07__smooth__cohort409__subset509__model1101__n40__none__forced_horizon,0.3006871044635772,100,100,max_epochs_reached,,100,100,0.17152874171733856,0.23259983956813812,0.0,False,False,False,False,True
p07__smooth__cohort409__subset509__model1101__n40__time_scaled__standard_early_stop,409,509,1101,time_scaled,0.2897996604442596,100,100,max_epochs_reached,,100,100,0.20316803455352783,0.23367492854595184,p07__smooth__cohort409__subset509__model1101__n40__time_scaled__forced_horizon,0.2897996604442596,100,100,max_epochs_reached,,100,100,0.20316803455352783,0.23367492854595184,0.0,False,False,False,False,True
p07__smooth__cohort409__subset509__model1102__n40__none__standard_early_stop,409,509,1102,none,0.3021703660488128,100,100,max_epochs_reached,,100,24,0.17897245287895203,0.23660941421985626,p07__smooth__cohort409__subset509__model1102__n40__none__forced_horizon,0.3021703660488128,100,100,max_epochs_reached,,100,24,0.17897245287895203,0.23660941421985626,0.0,False,False,False,False,True
p07__smooth__cohort409__subset509__model1102__n40__time_scaled__standard_early_stop,409,509,1102,time_scaled,0.2764152586460113,100,100,max_epochs_reached,,100,100,0.18191364407539368,0.22166427969932556,p07__smooth__cohort409__subset509__model1102__n40__time_scaled__forced_horizon,0.2764152586460113,100,100,max_epochs_reached,,100,100,0.18191364407539368,0.22166427969932556,0.0,False,False,False,False,True
p07__smooth__cohort409__subset509__model1103__n40__none__standard_early_stop,409,509,1103,none,0.2854426801204681,100,100,max_epochs_reached,,100,100,0.17329661548137665,0.22820954024791718,p07__smooth__cohort409__subset509__model1103__n40__none__forced_horizon,0.2854426801204681,100,100,max_epochs_reached,,100,100,0.17329661548137665,0.22820954024791718,0.0,False,False,False,False,True
p07__smooth__cohort409__subset509__model1103__n40__time_scaled__standard_early_stop,409,509,1103,time_scaled,0.2665524780750274,100,100,max_epochs_reached,,100,100,0.17453396320343018,0.21697069704532623,p07__smooth__cohort409__subset509__model1103__n40__time_scaled__forced_horizon,0.2665524780750274,100,100,max_epochs_reached,,100,100,0.17453396320343018,0.21697069704532623,0.0,False,False,False,False,True
p07__smooth__cohort409__subset509__model1104__n40__none__standard_early_stop,409,509,1104,none,0.3116593956947326,100,100,max_epochs_reached,,100,28,0.18831110000610352,0.2410525530576706,p07__smooth__cohort409__subset509__model1104__n40__none__forced_horizon,0.3116593956947326,100,100,max_epochs_reached,,100,28,0.18831110000610352,0.2410525530576706,0.0,False,False,False,False,True
p07__smooth__cohort409__subset509__model1104__n40__time_scaled__standard_early_stop,409,509,1104,time_scaled,0.2832116782665252,100,100,max_epochs_reached,,100,100,0.18491092324256897,0.22818006575107574,p07__smooth__cohort409__subset509__model1104__n40__time_scaled__forced_horizon,0.2832116782665252,100,100,max_epochs_reached,,100,100,0.18491092324256897,0.22818006575107574,0.0,False,False,False,False,True
p07__smooth__cohort409__subset509__model1105__n40__none__standard_early_stop,409,509,1105,none,0.3017861545085907,100,100,max_epochs_reached,,100,100,0.18435092270374298,0.24003173410892487,p07__smooth__cohort409__subset509__model1105__n40__none__forced_horizon,0.3017861545085907,100,100,max_epochs_reached,,100,100,0.18435092270374298,0.24003173410892487,0.0,False,False,False,False,True
p07__smooth__cohort409__subset509__model1105__n40__time_scaled__standard_early_stop,409,509,1105,time_scaled,0.2506381273269653,100,100,max_epochs_reached,,100,100,0.1702306866645813,0.20617157220840454,p07__smooth__cohort409__subset509__model1105__n40__time_scaled__forced_horizon,0.2506381273269653,100,100,max_epochs_reached,,100,100,0.1702306866645813,0.20617157220840454,0.0,False,False,False,False,True
