cohort_seed,subset_seed,model_seed,mae_control_standard,mae_time_scaled_standard,mae_control_forced,mae_time_scaled_forced,Delta_standard,Delta_forced,G,H_time_scaled,H_control
407,507,1109,0.2919319570064544,0.2651359438896179,0.2919319570064544,0.2651359438896179,0.026796013116836492,0.026796013116836492,0.0,0.0,0.0
407,507,1110,0.3092976212501526,0.2796609103679657,0.3092976212501526,0.2796609103679657,0.02963671088218689,0.02963671088218689,0.0,0.0,0.0
408,508,1101,0.2924774289131164,0.2634483575820923,0.2924774289131164,0.2634483575820923,0.029029071331024114,0.029029071331024114,0.0,0.0,0.0
408,508,1102,0.2999062538146972,0.2480734884738922,0.2999062538146972,0.2480734884738922,0.051832765340805,0.051832765340805,0.0,0.0,0.0
408,508,1103,0.2715866267681122,0.264908105134964,0.2715866267681122,0.264908105134964,0.006678521633148193,0.006678521633148193,0.0,0.0,0.0
408,508,1104,0.2764838635921478,0.2639392018318176,0.2764838635921478,0.2639392018318176,0.0125446617603302,0.0125446617603302,0.0,0.0,0.0
408,508,1105,0.291895717382431,0.2390951067209243,0.291895717382431,0.2390951067209243,0.05280061066150668,0.05280061066150668,0.0,0.0,0.0
408,508,1106,0.278815746307373,0.2388936579227447,0.278815746307373,0.2388936579227447,0.039922088384628296,0.039922088384628296,0.0,0.0,0.0
408,508,1107,0.2943487763404846,0.263693243265152,0.2943487763404846,0.263693243265152,0.03065553307533264,0.03065553307533264,0.0,0.0,0.0
408,508,1108,0.3107438385486603,0.2596837282180786,0.3107438385486603,0.2596837282180786,0.051060110330581665,0.051060110330581665,0.0,0.0,0.0
408,508,1109,0.2838652729988098,0.2593211233615875,0.2838652729988098,0.2593211233615875,0.02454414963722229,0.02454414963722229,0.0,0.0,0.0
408,508,1110,0.2994246184825897,0.2678128778934479,0.2994246184825897,0.2678128778934479,0.031611740589141846,0.031611740589141846,0.0,0.0,0.0
409,509,1101,0.3006871044635772,0.2897996604442596,0.3006871044635772,0.2897996604442596,0.010887444019317627,0.010887444019317627,0.0,0.0,0.0
409,509,1102,0.3021703660488128,0.2764152586460113,0.3021703660488128,0.2764152586460113,0.025755107402801514,0.025755107402801514,0.0,0.0,0.0
409,509,1103,0.2854426801204681,0.2665524780750274,0.2854426801204681,0.2665524780750274,0.018890202045440674,0.018890202045440674,0.0,0.0,0.0
409,509,1104,0.3116593956947326,0.2832116782665252,0.3116593956947326,0.2832116782665252,0.028447717428207397,0.028447717428207397,0.0,0.0,0.0
409,509,1105,0.3017861545085907,0.2506381273269653,0.3017861545085907,0.2506381273269653,0.05114802718162542,0.05114802718162542,0.0,0.0,0.0
409,509,1106,0.287882387638092,0.2550605237483978,0.287882387638092,0.2550605237483978,0.03282186388969416,0.03282186388969416,0.0,0.0,0.0
409,509,1107,0.2981997430324554,0.2851745188236236,0.2981997430324554,0.2851745188236236,0.013025224208831787,0.013025224208831787,0.0,0.0,0.0
