model,ablation,n_train,n_fit,n_validation,seed,cohort_seed,subset_seed,model_seed,split,site_or_shift,metric,value,trainable_parameters,backend,world,benchmark
gradient_boosting,none,5,4,1,201,101,201,301,test,all,rmse,0.7932070813153412,0,,informative_observation,low_n
gru_from_scratch,none,5,4,1,201,101,201,301,test,all,coverage_90,0.7068030411847742,4455,,informative_observation,low_n
gru_from_scratch,none,5,4,1,201,101,201,301,test,all,event_brier,0.12230250977749871,4455,,informative_observation,low_n
gru_from_scratch,none,5,4,1,201,101,201,301,test,all,event_log_loss,0.41083032677797277,4455,,informative_observation,low_n
gru_from_scratch,none,5,4,1,201,101,201,301,test,all,event_roc_auc,0.4861641370053799,4455,,informative_observation,low_n
gru_from_scratch,none,5,4,1,201,101,201,301,test,all,latent_aligned_r2,0.6775616756931372,4455,,informative_observation,low_n
gru_from_scratch,none,5,4,1,201,101,201,301,test,all,mae,0.5628321766853333,4455,,informative_observation,low_n
gru_from_scratch,none,5,4,1,201,101,201,301,test,all,nll,2.5723979944148465,4455,,informative_observation,low_n
gru_from_scratch,none,5,4,1,201,101,201,301,test,all,rmse,0.995172650679285,4455,,informative_observation,low_n
representation_linear,none,5,4,1,201,101,201,301,test,all,mae,0.6038936737622393,20,,informative_observation,low_n
representation_linear,none,5,4,1,201,101,201,301,test,all,rmse,0.9960558399658612,20,,informative_observation,low_n
representation_mlp,none,5,4,1,201,101,201,301,test,all,mae,1.200890351320635,673,torch_lbfgs,informative_observation,low_n
representation_mlp,none,5,4,1,201,101,201,301,test,all,rmse,2.1345454841962117,673,torch_lbfgs,informative_observation,low_n
engineered_linear,none,10,8,2,201,101,201,301,test,all,mae,0.7405859844951538,17,,informative_observation,low_n
engineered_linear,none,10,8,2,201,101,201,301,test,all,rmse,0.9710753796654271,17,,informative_observation,low_n
flow_jump,no_flow,10,8,2,201,101,201,301,test,all,coverage_90,0.9298892988929889,6967,,informative_observation,low_n
flow_jump,no_flow,10,8,2,201,101,201,301,test,all,event_brier,0.12470520785094341,6967,,informative_observation,low_n
flow_jump,no_flow,10,8,2,201,101,201,301,test,all,event_log_loss,0.4187756465983723,6967,,informative_observation,low_n
flow_jump,no_flow,10,8,2,201,101,201,301,test,all,event_roc_auc,0.499326896466157,6967,,informative_observation,low_n
flow_jump,no_flow,10,8,2,201,101,201,301,test,all,latent_aligned_r2,0.60909144893416,6967,,informative_observation,low_n
flow_jump,no_flow,10,8,2,201,101,201,301,test,all,mae,0.5527713894844055,6967,,informative_observation,low_n
flow_jump,no_flow,10,8,2,201,101,201,301,test,all,nll,0.7924971540398353,6967,,informative_observation,low_n
flow_jump,no_flow,10,8,2,201,101,201,301,test,all,rmse,0.989455599655629,6967,,informative_observation,low_n
flow_jump,no_jump,10,8,2,201,101,201,301,test,all,coverage_90,0.930285544466183,4879,,informative_observation,low_n
flow_jump,no_jump,10,8,2,201,101,201,301,test,all,event_brier,0.13569134292184135,4879,,informative_observation,low_n
flow_jump,no_jump,10,8,2,201,101,201,301,test,all,event_log_loss,0.44575148335730935,4879,,informative_observation,low_n
flow_jump,no_jump,10,8,2,201,101,201,301,test,all,event_roc_auc,0.5012722632638731,4879,,informative_observation,low_n
flow_jump,no_jump,10,8,2,201,101,201,301,test,all,latent_aligned_r2,0.5759788630102143,4879,,informative_observation,low_n
flow_jump,no_jump,10,8,2,201,101,201,301,test,all,mae,0.6435890793800354,4879,,informative_observation,low_n
flow_jump,no_jump,10,8,2,201,101,201,301,test,all,nll,1.0543983064470295,4879,,informative_observation,low_n
flow_jump,no_jump,10,8,2,201,101,201,301,test,all,rmse,1.1498147918998485,4879,,informative_observation,low_n
flow_jump,no_prob_scale,10,8,2,201,101,201,301,test,all,coverage_90,0.8842467619307065,6967,,informative_observation,low_n
flow_jump,no_prob_scale,10,8,2,201,101,201,301,test,all,event_brier,0.20353658281435708,6967,,informative_observation,low_n
flow_jump,no_prob_scale,10,8,2,201,101,201,301,test,all,event_log_loss,0.599068896587684,6967,,informative_observation,low_n
flow_jump,no_prob_scale,10,8,2,201,101,201,301,test,all,event_roc_auc,0.5224289912220921,6967,,informative_observation,low_n
flow_jump,no_prob_scale,10,8,2,201,101,201,301,test,all,latent_aligned_r2,0.5853308190484845,6967,,informative_observation,low_n
flow_jump,no_prob_scale,10,8,2,201,101,201,301,test,all,mae,0.6701024770736694,6967,,informative_observation,low_n
flow_jump,no_prob_scale,10,8,2,201,101,201,301,test,all,nll,1.6201682226696372,6967,,informative_observation,low_n
flow_jump,no_prob_scale,10,8,2,201,101,201,301,test,all,rmse,1.1842547796022882,6967,,informative_observation,low_n
flow_jump,no_representation,10,8,2,201,101,201,301,test,all,coverage_90,0.8757274821070359,5815,,informative_observation,low_n
flow_jump,no_representation,10,8,2,201,101,201,301,test,all,event_brier,0.21737829972903616,5815,,informative_observation,low_n
flow_jump,no_representation,10,8,2,201,101,201,301,test,all,event_log_loss,0.627596009651799,5815,,informative_observation,low_n
flow_jump,no_representation,10,8,2,201,101,201,301,test,all,event_roc_auc,0.481059850829267,5815,,informative_observation,low_n
